magnitude,location,time,latitude,longitude
5.2,"177 km SSE of Kuril’sk, Russia",2024-10-31 13:51:59,43.8955,149.117
2.7,"62 km S of Whites City, New Mexico",2024-10-31 13:48:40,31.6227,-104.4753
0.74,"16 km ENE of Thousand Palms, CA",2024-10-31 13:48:24,33.8761667,-116.23
0.72,"10 km NW of The Geysers, CA",2024-10-31 13:41:45,38.8221664428711,-122.85383605957
1.6,"20 km ESE of Susitna North, Alaska",2024-10-31 13:38:35,62.1248,-149.4689
1.0,"46 km SSE of Denali National Park, Alaska",2024-10-31 13:38:05,63.1509,-151.3971
-0.51,"67 km WNW of Beluga, Alaska",2024-10-31 13:15:22,61.3071666666667,-152.300166666667
1.3,"28 km W of Happy Valley, Alaska",2024-10-31 13:09:27,59.9947,-152.2323
1.27,"28 km WNW of Coso Junction, CA",2024-10-31 12:53:20,36.0981667,-118.2528333
1.45,"16 km NNE of Apple Valley, CA",2024-10-31 12:47:51,34.6316667,-117.1096667
1.34,"3 km W of Cobb, CA",2024-10-31 12:36:42,38.8148345947266,-122.761497497559
1.0,"8 km NE of Moreno Valley, CA",2024-10-31 12:28:21,33.9756667,-117.1601667
0.6,"8 km SSE of Redlands, CA",2024-10-31 12:27:48,33.983,-117.1633333
1.52,"6 km SSW of The Silos, Montana",2024-10-31 12:22:53,46.3318333333333,-111.622333333333
0.96,"15 km SSE of Waynoka, Oklahoma",2024-10-31 12:08:03,36.45866667,-98.80833333
1.1,"1 km NNW of The Geysers, CA",2024-10-31 11:49:32,38.7878341674805,-122.766998291016
1.06,"6 km NW of Cobb, CA",2024-10-31 11:39:57,38.8488349914551,-122.780334472656
1.19,"5 km WNW of Cobb, CA",2024-10-31 11:34:46,38.8383331298828,-122.778167724609
1.6,"47 km SSE of Denali National Park, Alaska",2024-10-31 11:25:26,63.155,-151.3152
1.0,"1 km ENE of Glen Avon, CA",2024-10-31 11:20:28,34.0146667,-117.4723333
2.16,"23 km ENE of San Lucas, CA",2024-10-31 11:19:18,36.2384986877441,-120.806999206543
3.5,"20 km SE of Baláo, Ecuador",2024-10-31 11:14:13,-3.0489,-79.6937
0.25,"13 km NW of The Geysers, CA",2024-10-31 11:01:22,38.8409996032715,-122.876831054688
1.9,"2 km W of Funny River, Alaska",2024-10-31 10:50:40,60.4998,-150.7985
1.8,"22 km S of Susitna North, Alaska",2024-10-31 10:49:10,61.9586,-149.8372
5.3,"68 km S of Panguna, Papua New Guinea",2024-10-31 10:46:28,-6.937,155.4395
2.06,"12 km SSE of Bodfish, CA",2024-10-31 10:30:15,35.4863333,-118.4428333
0.76,"4 km NNW of The Geysers, CA",2024-10-31 10:24:45,38.8021659851074,-122.782501220703
1.13,"4 km NW of Cobb, CA",2024-10-31 10:24:14,38.8413314819336,-122.763832092285
1.08,"5 km WNW of The Geysers, CA",2024-10-31 10:20:05,38.7923316955566,-122.80549621582
0.78,"4 km NNW of The Geysers, CA",2024-10-31 10:18:58,38.803165435791,-122.779663085938
3.7,"33 km W of Akhiok, Alaska",2024-10-31 10:18:47,56.9645,-154.7197
1.04,"3 km NNW of The Geysers, CA",2024-10-31 10:16:24,38.7993316650391,-122.779663085938
3.29,"3 km NNW of The Geysers, CA",2024-10-31 10:14:26,38.8026657104492,-122.776832580566
1.35,"35 km S of False Pass, Alaska",2024-10-31 10:08:41,54.5373333333333,-163.517
1.3,"31 km SE of Minto, Alaska",2024-10-31 10:02:36,64.9821,-148.8223
1.98000002,"11 km ENE of Pāhala, Hawaii",2024-10-31 10:02:32,19.2520008087158,-155.386337280273
1.09,"4 km NNW of The Geysers, CA",2024-10-31 09:59:02,38.8056678771973,-122.778999328613
1.79999995,"12 km NE of Pāhala, Hawaii",2024-10-31 09:37:34,19.2649993896484,-155.381164550781
2.56,"4 km SSE of Maria Antonia, Puerto Rico",2024-10-31 09:20:07,17.9406666666667,-66.873
5.2,"44 km S of Hualien City, Taiwan",2024-10-31 09:18:16,23.5714,121.5974
0.82,"7 km SSW of Idyllwild, CA",2024-10-31 08:55:48,33.6818333,-116.7418333
1.15,"8 km SSW of Idyllwild, CA",2024-10-31 08:55:44,33.6765,-116.7481667
1.72,"3 km SSE of Highland Park, CA",2024-10-31 08:52:00,34.0931667,-118.1915
2.03,"3 km NE of Ullin, Illinois",2024-10-31 08:40:52,37.2935,-89.1553333333333
1.67,"22 km ESE of Anza, CA",2024-10-31 08:37:16,33.4866667,-116.4528333
2.16,"18 km ESE of Julian, CA",2024-10-31 08:33:12,33.0325,-116.4163333
1.46,"5 km SW of Fallis, Oklahoma",2024-10-31 08:32:36,35.71566667,-97.16016667
4.4,"36 km ENE of Grand-Bourg, Guadeloupe",2024-10-31 08:22:19,15.9829,-60.9903
0.26,"66 km WNW of Beluga, Alaska",2024-10-31 08:08:03,61.3226666666667,-152.2625
1.35,"10 km ESE of Buttonwillow, CA",2024-10-31 07:51:43,35.371,-119.3685
0.3,"12 km SE of Anza, CA",2024-10-31 07:50:24,33.48,-116.5808333
0.3,"6 km NNW of The Geysers, CA",2024-10-31 07:45:02,38.8183326721191,-122.806167602539
1.4,"39 km E of Skwentna, Alaska",2024-10-31 07:37:32,62.0014,-150.6453
0.0,"29 km WNW of Indian Springs, Nevada",2024-10-31 07:28:15,36.6662,-115.9812
-0.55,"67 km WNW of Tyonek, Alaska",2024-10-31 07:25:52,61.2893333333333,-152.296
1.42,"13 km SE of Mammoth Lakes, CA",2024-10-31 07:19:02,37.558666229248,-118.870666503906
1.67,"27 km WNW of Volcano, Hawaii",2024-10-31 07:09:58,19.4931666666667,-155.492333333333
0.82,"7 km NNW of The Geysers, CA",2024-10-31 06:59:12,38.8203315734863,-122.808670043945
-0.32,"67 km WNW of Tyonek, Alaska",2024-10-31 06:51:23,61.2946666666667,-152.294166666667
0.47,"13 km ENE of Ronan, Montana",2024-10-31 06:51:17,47.561,-113.923
-1.02,"84 km NNW of Karluk, Alaska",2024-10-31 06:48:55,58.2323333333333,-155.148333333333
1.6,"40 km ENE of Pedro Bay, Alaska",2024-10-31 06:29:35,59.9902,-153.5064
4.5,"41 km SSW of Nemuro, Japan",2024-10-31 06:12:53,42.9556,145.4577
2.04999995,"8 km SSW of Pāhala, Hawaii",2024-10-31 06:11:56,19.1331672668457,-155.504501342773
1.06,"5 km NW of The Geysers, CA",2024-10-31 06:11:18,38.7958335876465,-122.810668945312
1.98000002,"8 km S of Pāhala, Hawaii",2024-10-31 06:09:05,19.125,-155.490997314453
1.39,"13 km SE of Mammoth Lakes, CA",2024-10-31 06:08:43,37.5581665039062,-118.866165161133
1.3,"29 km NW of Furnace Creek, California",2024-10-31 06:08:21,36.605,-117.1181
0.77,"8 km WNW of Cobb, CA",2024-10-31 06:06:52,38.8408317565918,-122.810501098633
2.03,"70 km ESE of West Yellowstone, Montana",2024-10-31 06:01:23,44.3591666666667,-110.320833333333
0.46,"4 km SE of Cabazon, CA",2024-10-31 05:58:38,33.8853333,-116.7573333
0.9,"5 km SE of Cabazon, CA",2024-10-31 05:58:26,33.8826667,-116.7521667
1.6,"5 km ESE of Millville, Utah",2024-10-31 05:54:28,41.6563333333333,-111.766666666667
0.84,"67 km WNW of Ninilchik, Alaska",2024-10-31 05:47:57,60.2298333333333,-152.819166666667
-0.45,"66 km WNW of Beluga, Alaska",2024-10-31 05:44:03,61.3161666666667,-152.262166666667
1.17,"13 km NNE of Fillmore, CA",2024-10-31 05:43:15,34.5125,-118.8813333
1.1,"28 km NW of Furnace Creek, California",2024-10-31 05:25:56,36.5972,-117.1086
1.2,"12 km NNE of Stanton, Texas",2024-10-31 05:16:50,32.238,-101.759
-0.32,"66 km WNW of Beluga, Alaska",2024-10-31 05:09:07,61.3278333333333,-152.2575
0.2,"97 km NNW of Karluk, Alaska",2024-10-31 05:03:12,58.4088333333333,-154.893
1.29,"18 km WNW of Hebgen Lake Estates, Montana",2024-10-31 05:00:12,44.859,-111.393833333333
3.6,"99 km SW of Atka, Alaska",2024-10-31 04:59:05,51.564,-175.2171
0.79,"12 km E of Coso Junction, CA",2024-10-31 04:43:01,36.0273333,-117.8203333
-0.05,"20 km ESE of Little Lake, CA",2024-10-31 04:42:34,35.8663333,-117.7055
0.87,"8 km SSE of Big Bear City, CA",2024-10-31 04:32:52,34.1926667,-116.827
1.6,"129 km S of McCarthy, Alaska",2024-10-31 04:26:20,60.2914,-143.3141
1.6,"51 km ENE of Healy, Alaska",2024-10-31 04:12:41,64.0859,-148.0433
-0.41,"66 km WNW of Beluga, Alaska",2024-10-31 04:12:05,61.3328333333333,-152.263666666667
1.28,"3 km NNW of The Geysers, CA",2024-10-31 04:07:07,38.7991676330566,-122.777496337891
2.5,"17 km NNE of Hermleigh, Texas",2024-10-31 03:56:34,32.769,-100.668
0.36,"3 km NW of The Geysers, CA",2024-10-31 03:54:10,38.798168182373,-122.785163879395
-0.88,"64 km WNW of Tyonek, Alaska",2024-10-31 03:51:23,61.2953333333333,-152.247333333333
1.17,"13 km NNW of Piru, CA",2024-10-31 03:50:06,34.5151667,-118.8731667
0.73,"15 km N of Fillmore, CA",2024-10-31 03:49:37,34.5285,-118.89
1.67,"13 km NNE of Fillmore, CA",2024-10-31 03:48:38,34.51,-118.881
1.89,"13 km NNW of Piru, CA",2024-10-31 03:48:31,34.5138333,-118.87
1.47,"13 km NNW of Piru, CA",2024-10-31 03:48:28,34.5136667,-118.873
0.76,"7 km SSE of Idyllwild, CA",2024-10-31 03:42:44,33.6803333,-116.6988333
1.04,"19 km NNW of Anaconda, Montana",2024-10-31 03:32:53,46.2918333333333,-113.038
0.74,"5 km NNW of The Geysers, CA",2024-10-31 03:26:39,38.8121681213379,-122.796501159668
1.7,"23 km SSW of Westbrook, Texas",2024-10-31 03:06:28,32.145,-101.067
1.13,"2 km NW of The Geysers, CA",2024-10-31 02:58:08,38.7923316955566,-122.776168823242
2.0,"64 km WNW of Anchor Point, Alaska",2024-10-31 02:30:52,59.9367,-152.9299
0.46,"27 km ENE of Pine Valley, CA",2024-10-31 02:28:56,32.9065,-116.2631667
0.36,"19 km W of Sitka, Alaska",2024-10-31 02:19:41,57.0486666666667,-135.649333333333
0.3,"9 km N of Pony, Montana",2024-10-31 02:19:25,45.7468333333333,-111.9095
1.82000005,"11 km ENE of Pāhala, Hawaii",2024-10-31 02:01:06,19.2418327331543,-155.380340576172
-0.14,"86 km NNW of Karluk, Alaska",2024-10-31 01:54:44,58.2621666666667,-155.1025
4.7,western Indian-Antarctic Ridge,2024-10-31 01:52:51,-49.9162,126.9749
1.08,"8 km NNW of The Geysers, CA",2024-10-31 01:39:51,38.8281669616699,-122.815498352051
2.37,"11 km SSE of Punta Santiago, Puerto Rico",2024-10-31 01:35:10,18.0716666666667,-65.714
1.0,"26 km NW of Furnace Creek, California",2024-10-31 01:28:45,36.6044,-117.0741
0.6,"25 km NW of Furnace Creek, California",2024-10-31 01:26:33,36.5796,-117.0871
2.6,"38 km WSW of Nueva Loja, Ecuador",2024-10-31 01:22:36,-0.0975,-77.1942
1.8,"81 km ESE of Denali Park, Alaska",2024-10-31 01:12:01,63.5538,-147.3237
0.5,"8 km NNW of The Geysers, CA",2024-10-31 00:56:11,38.8283348083496,-122.815002441406
1.78,"45 km SW of Salmon, Idaho",2024-10-31 00:55:56,44.9166666666667,-114.3505
3.3,"267 km WSW of Adak, Alaska",2024-10-31 00:54:08,51.3226,179.6092
-0.23,"65 km WNW of Beluga, Alaska",2024-10-31 00:47:25,61.3138333333333,-152.2565
1.7,"37 km S of False Pass, Alaska",2024-10-31 00:43:04,54.5256666666667,-163.5185
1.7,"23 km SE of Denali National Park, Alaska",2024-10-31 00:30:37,63.4041,-151.3537
1.9,"57 km WNW of Anchor Point, Alaska",2024-10-31 00:25:08,59.897,-152.8373
1.3,"4 km SSE of Highland Park, CA",2024-10-31 00:18:39,34.0871667,-118.1841667
1.04,"8 km WNW of Cobb, CA",2024-10-31 00:15:15,38.8383331298828,-122.808670043945
1.88,"13 km ENE of Pāhala, Hawaii",2024-10-31 00:10:33,19.2423324584961,-155.354995727539
1.02,"6 km SSE of Brawley, CA",2024-10-31 00:01:19,32.9248333,-115.5141667
2.27,"19 km SSE of Boonville, CA",2024-10-30 23:59:58,38.8644981384277,-123.251335144043
2.03,"11 km ENE of Pāhala, Hawaii",2024-10-30 23:57:01,19.242000579834,-155.379669189453
1.3,"64 km WNW of Tyonek, Alaska",2024-10-30 23:15:08,61.2901,-152.251
2.1099999,"1 km SSE of Pāhala, Hawaii",2024-10-30 23:10:01,19.1891670227051,-155.473327636719
0.87,"8 km NNW of The Geysers, CA",2024-10-30 23:04:57,38.8283348083496,-122.815498352051
5.1,Fiji region,2024-10-30 23:02:23,-18.8898,-177.9106
1.15,"7 km NNW of The Geysers, CA",2024-10-30 23:00:49,38.8258323669434,-122.807998657227
1.65,"5 km E of Yucaipa, CA",2024-10-30 22:48:59,34.028,-116.9901667
0.69,"6 km WNW of Cobb, CA",2024-10-30 22:48:11,38.8359985351562,-122.789329528809
5.2,western Indian-Antarctic Ridge,2024-10-30 22:44:44,-48.8984,121.3782
2.16,"20 km NW of Grapevine, CA",2024-10-30 22:44:33,35.0938333,-119.0535
1.55,"23 km S of Stovepipe Wells, CA",2024-10-30 22:44:12,36.3956667,-117.113
1.07,"5 km NW of The Geysers, CA",2024-10-30 22:40:14,38.803165435791,-122.80916595459
0.64,"24 km E of Townsend, Montana",2024-10-30 22:34:25,46.339,-111.203166666667
1.4,"23 km WSW of Furnace Creek, California",2024-10-30 22:26:05,36.394,-117.1057
4.5,"39 km SSE of Cayarani, Peru",2024-10-30 22:21:48,-14.9999,-71.867
3.1,"10 km NNE of Susanville, CA",2024-10-30 22:19:44,40.5078315734863,-120.637664794922
4.8,"107 km SE of Vilyuchinsk, Russia",2024-10-30 22:15:53,52.3009,159.6162
0.61,"5 km SSW of Warner Springs, CA",2024-10-30 22:11:54,33.2376667,-116.6501667
1.3,"61 km S of Whites City, New Mexico",2024-10-30 22:03:03,31.624,-104.458
0.84,"4 km W of Lemon Grove, CA",2024-10-30 22:01:35,32.7406667,-117.0791667
1.5,"60 km S of Whites City, New Mexico",2024-10-30 21:46:04,31.638,-104.468
1.9,"54 km NE of Kenny Lake, Alaska",2024-10-30 21:43:37,62.019,-144.1207
1.6,"46 km NW of Toyah, Texas",2024-10-30 21:42:56,31.626,-104.119
4.3,"44 km WSW of Nuwaybi‘a, Egypt",2024-10-30 21:35:09,28.9395,34.2265
3.5,"43 km NNE of Petersville, Alaska",2024-10-30 21:33:33,62.8728,-150.5566
2.2,"8 km ESE of Clam Gulch, Alaska",2024-10-30 21:21:28,60.1964,-151.2551
0.76,"4 km NNE of Big Bear Lake, CA",2024-10-30 21:12:52,34.278,-116.8985
1.7,"16 km ESE of Livengood, Alaska",2024-10-30 20:56:35,65.4472,-148.2359
0.99,"6 km W of Circleville, Utah",2024-10-30 20:37:56,38.1623333333333,-112.344333333333
1.09,"9 km NW of The Geysers, CA",2024-10-30 20:37:28,38.8219985961914,-122.840835571289
2.61,"5 km  of Walker, CA",2024-10-30 20:28:43,38.5618324279785,-119.495002746582
2.0,"16 km SSE of Point Possession, Alaska",2024-10-30 20:10:41,60.7914,-150.552
-0.52,"83 km NNW of Karluk, Alaska",2024-10-30 20:05:12,58.2321666666667,-155.120166666667
4.5,south of the Fiji Islands,2024-10-30 19:56:40,-22.962,-179.8161
1.7,"27 km ENE of Beluga, Alaska",2024-10-30 19:52:29,61.2495,-150.617
-0.58,"76 km W of Salamatof, Alaska",2024-10-30 19:46:03,60.509,-152.693
1.8,"11 km E of Susitna North, Alaska",2024-10-30 19:37:59,62.1549,-149.626
4.2,"101 km NW of San Antonio de los Cobres, Argentina",2024-10-30 19:30:33,-23.4705,-66.8988
1.38,"6 km WSW of Niland, CA",2024-10-30 19:29:29,33.2243333,-115.5758333
1.9,"21 km NNW of Central, Alaska",2024-10-30 19:14:29,65.736,-145.0637
1.8,"7 km S of Volcano, Hawaii",2024-10-30 19:14:18,19.3794994354248,-155.236999511719
-0.5,"67 km WNW of Beluga, Alaska",2024-10-30 19:08:23,61.3425,-152.2735
0.5,"71 km WNW of Beluga, Alaska",2024-10-30 18:44:01,61.3543,-152.3356
4.4,"113 km ENE of Lhasa, China",2024-10-30 18:32:40,29.8573,92.247
0.6,"4 km S of Idyllwild, CA",2024-10-30 18:24:02,33.7008333,-116.7221667
0.71,"24 km N of Ridgecrest, CA",2024-10-30 18:21:50,35.8343333,-117.6636667
-0.84,"63 km WNW of Tyonek, Alaska",2024-10-30 18:19:07,61.2801666666667,-152.230833333333
3.6,"69 km WSW of Elfin Cove, Alaska",2024-10-30 18:11:38,58.0599,-137.4997
1.75,"12 km E of Coso Junction, CA",2024-10-30 17:56:46,36.0313333,-117.8191667
-0.02,"85 km NNW of Karluk, Alaska",2024-10-30 17:52:55,58.2506666666667,-155.123833333333
1.42,"13 km NNW of Piru, CA",2024-10-30 17:27:12,34.5135,-118.8726667
1.66,"11 km E of Pāhala, Hawaii",2024-10-30 17:17:46,19.2121666666667,-155.3675
1.8,"53 km WNW of Cantwell, Alaska",2024-10-30 17:08:14,63.5139,-149.9839
2.2,"50 km WNW of Valdez, Alaska",2024-10-30 17:00:33,61.3793,-147.13
0.99,"5 km SE of Ontario, CA",2024-10-30 16:57:33,34.018,-117.5885
0.91,"12 km E of Coso Junction, CA",2024-10-30 16:56:34,36.0346667,-117.8195
4.3,"64 km NE of Khuzdar, Pakistan",2024-10-30 16:51:31,28.2099,67.0879
4.6,"235 km SE of Pondaguitan, Philippines",2024-10-30 16:47:24,4.6878,127.4965
0.95,"17 km ENE of Ocotillo, CA",2024-10-30 16:41:49,32.7943333,-115.8216667
0.89,"5 km WNW of The Geysers, CA",2024-10-30 16:18:40,38.7924995422363,-122.80549621582
1.6,"7 km NE of Fox, Alaska",2024-10-30 16:18:09,64.9968,-147.4874
1.84000003,"7 km S of Pāhala, Hawaii",2024-10-30 15:49:25,19.1364994049072,-155.470672607422
2.0,"7 km NNW of Willow, Alaska",2024-10-30 15:23:09,61.8074,-150.1033
1.25,"16 km ESE of Little Lake, CA",2024-10-30 15:22:19,35.9051667,-117.7381667
2.55,"12 km E of Coso Junction, CA",2024-10-30 15:21:18,36.0326667,-117.8215
4.2,"31 km W of Yonakuni, Japan",2024-10-30 15:07:13,24.4554,122.6894
1.08,"7 km WSW of Corona, CA",2024-10-30 15:04:39,33.8405,-117.6338333
2.2,"51 km SW of Nanwalek, Alaska",2024-10-30 14:54:39,59.0943,-152.6677
0.8,"5 km WNW of Cobb, CA",2024-10-30 14:43:36,38.8274993896484,-122.785667419434
1.8,"11 km NNE of Stanley, Idaho",2024-10-30 14:43:32,44.3015,-114.865666666667
4.7,"49 km NNE of Namuac, Philippines",2024-10-30 14:39:07,19.0488,121.2583
1.9,"15 km NE of Nikolaevsk, Alaska",2024-10-30 14:36:52,59.9241,-151.4404
1.9,"57 km N of Petersville, Alaska",2024-10-30 14:29:12,63.0138,-150.6508
1.72,"13 km NNE of Pāhala, Hawaii",2024-10-30 14:26:42,19.3141666666667,-155.432833333333
2.18,"10 km ENE of Pāhala, Hawaii",2024-10-30 14:23:57,19.2430000305176,-155.390670776367
1.62,"10 km NNE of Stanley, Idaho",2024-10-30 14:17:36,44.3005,-114.8715
2.0,"40 km WNW of Beluga, Alaska",2024-10-30 14:16:46,61.3128,-151.7486
2.29,"4 km ESE of Tallaboa Alta, Puerto Rico",2024-10-30 14:15:44,18.0296666666667,-66.6665
2.52,"11 km NE of Stanley, Idaho",2024-10-30 14:14:21,44.2985,-114.859166666667
0.53,"22 km ENE of West Yellowstone, Montana",2024-10-30 14:14:15,44.7041666666667,-110.8275
0.86,"3 km SW of Anderson Springs, CA",2024-10-30 14:09:35,38.7558326721191,-122.713165283203
1.8,"68 km NNW of Skwentna, Alaska",2024-10-30 14:08:23,62.511,-152.1095
2.12,"11 km NNE of Stanley, Idaho",2024-10-30 13:58:48,44.3038333333333,-114.860166666667
1.6,"33 km SSE of Egegik, Alaska",2024-10-30 13:45:53,57.9606,-157.0857
0.08,"64 km WNW of Beluga, Alaska",2024-10-30 13:32:48,61.3163333333333,-152.229666666667
3.5,"73 km WNW of Nikolski, Alaska",2024-10-30 13:24:19,53.1617,-169.8864
3.7,"163 km SSE of Nikolski, Alaska",2024-10-30 13:24:16,51.5783,-167.9729
1.9,"48 km WNW of Skwentna, Alaska",2024-10-30 13:18:51,62.1245,-152.2859
6.0,"279 km W of Bandon, Oregon",2024-10-30 13:15:19,43.544,-127.7993
-0.67,"61 km ENE of Pedro Bay, Alaska",2024-10-30 13:08:40,60.0238333333333,-153.104
2.00999999,"4 km SSW of Pāhala, Hawaii",2024-10-30 13:04:47,19.1669998168945,-155.486831665039
1.18,"6 km ENE of Butte, Montana",2024-10-30 13:01:28,46.0175,-112.4595
1.8,"17 km ENE of Tilden, Texas",2024-10-30 12:55:00,28.546,-98.392
0.27,"19 km E of Little Lake, CA",2024-10-30 12:54:30,35.9061667,-117.7003333
0.63,"5 km WNW of Cobb, CA",2024-10-30 12:39:47,38.8373336791992,-122.782333374023
0.72,"4 km NNW of The Geysers, CA",2024-10-30 12:32:45,38.8078346252441,-122.778831481934
1.14,"3 km ESE of Home Gardens, CA",2024-10-30 12:30:17,33.866,-117.4915
1.08,"42 km ENE of Adak, Alaska",2024-10-30 12:06:01,52.071,-176.098666666667
0.9,"26 km NW of Furnace Creek, California",2024-10-30 11:55:18,36.605,-117.0716
1.01,"4 km WNW of Cobb, CA",2024-10-30 11:53:43,38.8368339538574,-122.769332885742
4.5,"91 km SSE of Lata, Solomon Islands",2024-10-30 11:49:50,-11.5147,166.0534
2.1,"9 km NW of Point MacKenzie, Alaska",2024-10-30 11:38:58,61.423,-150.0866
1.4,"63 km S of Whites City, New Mexico",2024-10-30 11:38:54,31.611,-104.501
0.1,"48 km NW of Indian Springs, Nevada",2024-10-30 11:36:10,36.8656,-116.0643
0.75,"5 km NNW of The Geysers, CA",2024-10-30 11:23:59,38.8126678466797,-122.796501159668
1.51,"4 km SE of Home Gardens, CA",2024-10-30 11:21:23,33.8506667,-117.4906667
1.15,"28 km SE of Virginia City, Montana",2024-10-30 11:13:21,45.08,-111.738833333333
0.2,"47 km NW of Indian Springs, Nevada",2024-10-30 11:10:46,36.8665,-116.0604
1.28,"10 km E of Chualar, CA",2024-10-30 11:09:39,36.5945014953613,-121.413665771484
4.4,"60 km SSE of Shikotan, Russia",2024-10-30 11:07:24,43.3204,147.0739
1.8,"47 km W of Anchor Point, Alaska",2024-10-30 11:05:08,59.8096,-152.6744
0.66,"9 km NE of Ashford, Washington",2024-10-30 11:02:10,46.81216666666667,-121.93516666666666
0.33,"7 km E of Ashford, Washington",2024-10-30 10:57:08,46.753,-121.93483333333333
0.1,"47 km NW of Indian Springs, Nevada",2024-10-30 10:49:21,36.8652,-116.0599
1.91,"3 km NE of The Geysers, CA",2024-10-30 10:32:11,38.7963333129883,-122.733001708984
1.2,"43 km NW of Toyah, Texas",2024-10-30 10:31:19,31.605,-104.109
-0.53,"15 km W of Dutch Harbor, Alaska",2024-10-30 10:31:13,53.911,-166.78
1.34,"24 km E of Pāhala, Hawaii",2024-10-30 10:18:01,19.1735,-155.252
0.54,"22 km ENE of West Yellowstone, Montana",2024-10-30 10:04:40,44.7106666666667,-110.828833333333
0.77,"5 km WNW of The Geysers, CA",2024-10-30 10:03:31,38.7923316955566,-122.807502746582
0.46,"9 km WNW of Cobb, CA",2024-10-30 09:59:59,38.8406677246094,-122.822998046875
0.74,"8 km WNW of Cobb, CA",2024-10-30 09:52:17,38.8338317871094,-122.808670043945
1.5,"47 km NW of Toyah, Texas",2024-10-30 09:49:53,31.628,-104.127
1.03,"Rat Islands, Aleutian Islands, Alaska",2024-10-30 09:38:36,51.9876666666667,178.4735
1.19,"8 km NNE of Julian, CA",2024-10-30 09:30:33,33.152,-116.5803333
1.8,"21 km WSW of Petersville, Alaska",2024-10-30 09:18:41,62.4289,-151.1572
0.39,"69 km WNW of Beluga, Alaska",2024-10-30 08:46:40,61.3541666666667,-152.306666666667
0.1,"48 km ESE of Beatty, Nevada",2024-10-30 08:45:24,36.6975,-116.2876
0.29,"5 km SSW of Idyllwild, CA",2024-10-30 08:45:13,33.6991667,-116.7486667
0.37,"22 km S of Morton, Washington",2024-10-30 08:39:11,46.357166666666664,-122.23316666666666
0.7,"24 km NW of Furnace Creek, California",2024-10-30 08:30:43,36.5751,-117.0792
0.98,"2 km SSW of Anderson Springs, CA",2024-10-30 08:13:29,38.7545013427734,-122.698333740234
4.1,Fiji region,2024-10-30 08:12:59,-20.6724,-178.4903
1.02,"21 km S of Morton, Washington",2024-10-30 08:11:47,46.369,-122.23383333333334
1.08,"8 km WNW of Cobb, CA",2024-10-30 08:10:19,38.8341674804688,-122.81583404541
2.15,"9 km NW of Santa Paula, CA",2024-10-30 07:58:14,34.4086667,-119.1375
2.0,"57 km S of Whites City, New Mexico",2024-10-30 07:43:51,31.662,-104.446
1.9,"73 km NNE of Wiseman, Alaska",2024-10-30 07:38:26,67.9951,-149.2955
1.07,"10 km NW of The Geysers, CA",2024-10-30 07:37:09,38.8248329162598,-122.857498168945
0.97,"19 km W of Sitka, Alaska",2024-10-30 07:24:07,57.0348333333333,-135.657833333333
1.29,"5 km WNW of The Geysers, CA",2024-10-30 07:18:53,38.7918319702148,-122.8056640625
3.0,"42 km ENE of Chone, Ecuador",2024-10-30 06:55:47,-0.5175,-79.7599
3.0,"232 km SE of Chiniak, Alaska",2024-10-30 06:27:57,56.0037,-149.8579
1.15,"5 km NNE of Mentone, CA",2024-10-30 06:23:14,34.1105,-117.1238333
2.2,"4 km SE of Maria Antonia, Puerto Rico",2024-10-30 06:22:40,17.9478333333333,-66.8636666666667
